acquisition_week,acquisition_channel,week_index,cohort_users,active_users,purchasing_users,orders,revenue,retention_rate,purchase_rate,revenue_per_cohort_user,weeks_observed
2024-09-09,Organic Search,1,2390,532,14,14.0,804.37,0.2226,0.0059,0.34,11
2024-09-30,Paid,0,3552,3552,34,35.0,2374.14,1.0,0.0096,0.67,8
2024-11-25,Direct,0,5610,5610,162,167.0,11945.22,1.0,0.0289,2.13,0
2024-10-07,Paid,5,3499,44,6,6.0,375.07,0.0126,0.0017,0.11,7
2024-09-23,Affiliate,1,304,79,1,1.0,114.78,0.2599,0.0033,0.38,9
2024-11-04,Direct,0,2420,2420,35,37.0,2440.1,1.0,0.0145,1.01,3
2024-09-23,Paid,3,3501,148,6,6.0,346.09,0.0423,0.0017,0.1,9
2024-10-28,Organic Search,2,2926,275,7,7.0,465.22,0.094,0.0024,0.16,4
2024-10-21,Organic Search,1,2802,608,20,20.0,1126.36,0.217,0.0071,0.4,5
2024-09-09,Email,0,454,454,22,22.0,1645.68,1.0,0.0485,3.62,11
2024-10-07,Email,0,521,521,14,14.0,823.77,1.0,0.0269,1.58,7
2024-10-21,Paid,1,3814,782,20,20.0,1704.59,0.205,0.0052,0.45,5
2024-09-16,Affiliate,0,286,286,0,0.0,0.0,1.0,0.0,0.0,10
2024-09-30,Email,1,513,126,9,9.0,531.6,0.2456,0.0175,1.04,8
2024-09-02,Direct,2,1990,231,11,11.0,868.39,0.1161,0.0055,0.44,12
2024-10-28,Affiliate,0,305,305,2,2.0,99.78,1.0,0.0066,0.33,4
2024-09-09,Direct,1,2046,510,28,28.0,2422.4,0.2493,0.0137,1.18,11
2024-10-14,Direct,2,2277,239,7,7.0,342.29,0.105,0.0031,0.15,6
2024-11-04,Email,0,542,542,14,14.0,637.44,1.0,0.0258,1.18,3
2024-10-07,Organic Search,2,2627,268,10,11.0,584.0,0.102,0.0038,0.22,7
2024-09-23,Organic Search,6,2466,21,2,2.0,333.1,0.0085,0.0008,0.14,9
2024-11-04,Organic Search,2,2880,278,9,11.0,934.73,0.0965,0.0031,0.32,3
2024-09-23,Paid,6,3501,33,1,1.0,53.42,0.0094,0.0003,0.02,9
2024-09-30,Referral,1,766,148,1,1.0,51.17,0.1932,0.0013,0.07,8
2024-10-21,Referral,0,856,856,7,7.0,340.79,1.0,0.0082,0.4,5
2024-11-11,Referral,0,875,875,2,2.0,133.4,1.0,0.0023,0.15,2
2024-11-11,Organic Search,2,2942,268,20,20.0,1507.97,0.0911,0.0068,0.51,2
2024-09-16,Paid,2,3403,281,10,10.0,473.54,0.0826,0.0029,0.14,10
2024-09-30,Organic Search,5,2561,29,1,1.0,119.15,0.0113,0.0004,0.05,8
2024-08-26,Direct,0,259,259,7,7.0,524.31,1.0,0.027,2.02,13
2024-09-23,Organic Search,3,2466,114,5,5.0,428.5,0.0462,0.002,0.17,9
2024-10-14,Organic Search,2,2779,268,14,15.0,1013.78,0.0964,0.005,0.36,6
2024-09-30,Direct,5,2145,45,2,2.0,148.91,0.021,0.0009,0.07,8
2024-10-21,Email,5,541,14,1,1.0,119.82,0.0259,0.0018,0.22,5
2024-11-11,Email,1,592,168,10,11.0,666.97,0.2838,0.0169,1.13,2
2024-09-16,Referral,1,784,149,3,3.0,382.06,0.1901,0.0038,0.49,10
2024-09-16,Email,2,485,57,4,4.0,62.76,0.1175,0.0082,0.13,10
2024-08-26,Organic Search,1,304,90,3,3.0,425.65,0.2961,0.0099,1.4,13
2024-10-07,Affiliate,2,271,40,2,2.0,90.14,0.1476,0.0074,0.33,7
2024-10-28,Email,2,519,67,4,4.0,97.08,0.1291,0.0077,0.19,4
2024-08-26,Referral,1,91,24,1,1.0,51.36,0.2637,0.011,0.56,13
2024-09-23,Direct,8,2150,6,0,0.0,0.0,0.0028,0.0,0.0,9
2024-09-02,Paid,4,3158,63,8,9.0,654.35,0.0199,0.0025,0.21,12
2024-09-09,Affiliate,2,278,32,1,2.0,154.25,0.1151,0.0036,0.55,11
2024-09-23,Email,5,480,13,1,1.0,14.44,0.0271,0.0021,0.03,9
2024-10-07,Direct,5,2244,33,1,1.0,26.31,0.0147,0.0004,0.01,7
2024-10-21,Affiliate,4,284,10,0,0.0,0.0,0.0352,0.0,0.0,5
2024-08-26,Affiliate,1,41,12,0,0.0,0.0,0.2927,0.0,0.0,13
2024-09-09,Referral,3,764,24,0,0.0,0.0,0.0314,0.0,0.0,11
2024-09-02,Affiliate,6,280,2,0,0.0,0.0,0.0071,0.0,0.0,12
2024-09-02,Direct,10,1990,4,1,2.0,185.5,0.002,0.0005,0.09,12
2024-09-23,Direct,7,2150,7,0,0.0,0.0,0.0033,0.0,0.0,9
2024-09-16,Direct,4,1967,56,4,4.0,310.73,0.0285,0.002,0.16,10
2024-09-16,Paid,10,3403,4,1,2.0,103.3,0.0012,0.0003,0.03,10
2024-08-26,Paid,9,448,2,0,0.0,0.0,0.0045,0.0,0.0,13
2024-09-09,Referral,6,764,3,0,0.0,0.0,0.0039,0.0,0.0,11
2024-09-16,Email,10,485,2,1,1.0,114.32,0.0041,0.0021,0.24,10
2024-10-07,Referral,4,808,17,1,1.0,27.95,0.021,0.0012,0.03,7
2024-09-02,Email,4,429,23,4,4.0,175.82,0.0536,0.0093,0.41,12
2024-09-23,Referral,5,808,7,0,0.0,0.0,0.0087,0.0,0.0,9
2024-09-02,Affiliate,3,280,19,0,0.0,0.0,0.0679,0.0,0.0,12
2024-08-26,Paid,5,448,3,0,0.0,0.0,0.0067,0.0,0.0,13
2024-09-02,Referral,7,646,3,0,0.0,0.0,0.0046,0.0,0.0,12
2024-09-30,Affiliate,7,313,1,0,0.0,0.0,0.0032,0.0,0.0,8
2024-09-23,Referral,9,808,1,0,0.0,0.0,0.0012,0.0,0.0,9
2024-09-30,Affiliate,8,313,1,0,0.0,0.0,0.0032,0.0,0.0,8
2024-09-23,Email,9,480,1,0,0.0,0.0,0.0021,0.0,0.0,9
2024-08-26,Email,5,63,1,0,0.0,0.0,0.0159,0.0,0.0,13
2024-11-18,Paid,1,4161,773,50,51.0,3143.35,0.1858,0.012,0.76,1
2024-10-28,Direct,0,2410,2410,54,55.0,3585.36,1.0,0.0224,1.49,4
2024-09-02,Organic Search,0,2225,2225,35,35.0,2562.91,1.0,0.0157,1.15,12
2024-09-09,Paid,0,3303,3303,37,37.0,2656.96,1.0,0.0112,0.8,11
2024-10-14,Email,0,502,502,14,14.0,1023.19,1.0,0.0279,2.04,6
2024-09-16,Referral,3,784,28,0,0.0,0.0,0.0357,0.0,0.0,10
2024-10-07,Paid,2,3499,280,13,14.0,1071.78,0.08,0.0037,0.31,7
2024-10-28,Paid,0,3892,3892,53,53.0,3210.77,1.0,0.0136,0.82,4
2024-09-23,Paid,1,3501,681,23,24.0,1976.67,0.1945,0.0066,0.56,9
2024-10-14,Affiliate,0,325,325,6,6.0,374.73,1.0,0.0185,1.15,6
2024-11-18,Referral,1,948,150,5,5.0,443.31,0.1582,0.0053,0.47,1
2024-11-25,Referral,0,2085,2085,24,24.0,2387.13,1.0,0.0115,1.14,0
2024-11-25,Affiliate,0,750,750,20,20.0,1347.66,1.0,0.0267,1.8,0
2024-11-04,Referral,0,925,925,5,5.0,210.26,1.0,0.0054,0.23,3
2024-09-16,Organic Search,0,2502,2502,37,38.0,3148.41,1.0,0.0148,1.26,10
2024-09-23,Organic Search,1,2466,524,15,17.0,983.2,0.2125,0.0061,0.4,9
2024-10-14,Referral,0,794,794,9,9.0,662.17,1.0,0.0113,0.83,6
2024-09-30,Organic Search,2,2561,217,2,2.0,86.43,0.0847,0.0008,0.03,8
2024-11-04,Affiliate,0,346,346,7,7.0,435.85,1.0,0.0202,1.26,3
2024-10-21,Paid,3,3814,144,4,4.0,310.22,0.0378,0.001,0.08,5
2024-09-09,Direct,3,2046,107,5,6.0,425.16,0.0523,0.0024,0.21,11
2024-09-30,Email,3,513,32,6,6.0,361.28,0.0624,0.0117,0.7,8
2024-10-21,Direct,0,2324,2324,47,47.0,3043.52,1.0,0.0202,1.31,5
2024-10-21,Email,2,541,68,5,5.0,293.07,0.1257,0.0092,0.54,5
2024-10-07,Direct,2,2244,230,13,14.0,937.2,0.1025,0.0058,0.42,7
2024-10-07,Organic Search,5,2627,37,0,0.0,0.0,0.0141,0.0,0.0,7
2024-09-30,Direct,2,2145,211,15,15.0,1172.49,0.0984,0.007,0.55,8
2024-09-23,Email,2,480,64,6,6.0,365.43,0.1333,0.0125,0.76,9
2024-10-14,Paid,4,3815,82,4,4.0,398.87,0.0215,0.001,0.1,6
2024-09-02,Affiliate,1,280,74,3,3.0,460.97,0.2643,0.0107,1.65,12
2024-10-14,Organic Search,5,2779,56,5,5.0,232.46,0.0202,0.0018,0.08,6
2024-10-28,Referral,2,850,65,0,0.0,0.0,0.0765,0.0,0.0,4
2024-09-09,Organic Search,3,2390,112,4,4.0,131.17,0.0469,0.0017,0.05,11
2024-09-30,Email,6,513,6,0,0.0,0.0,0.0117,0.0,0.0,8
2024-09-02,Referral,4,646,11,0,0.0,0.0,0.017,0.0,0.0,12
2024-09-02,Direct,5,1990,32,2,2.0,137.12,0.0161,0.001,0.07,12
2024-08-26,Email,2,63,8,0,0.0,0.0,0.127,0.0,0.0,13
2024-09-16,Paid,5,3403,40,4,4.0,327.03,0.0118,0.0012,0.1,10
2024-10-21,Organic Search,3,2802,129,1,1.0,62.38,0.046,0.0004,0.02,5
2024-08-26,Paid,2,448,49,3,4.0,300.16,0.1094,0.0067,0.67,13
2024-09-09,Referral,1,764,126,2,2.0,317.22,0.1649,0.0026,0.42,11
2024-10-14,Direct,5,2277,44,5,6.0,253.04,0.0193,0.0022,0.11,6
2024-09-16,Email,5,485,11,0,0.0,0.0,0.0227,0.0,0.0,10
2024-10-07,Affiliate,5,271,5,0,0.0,0.0,0.0185,0.0,0.0,7
2024-09-23,Referral,2,808,55,1,1.0,15.17,0.0681,0.0012,0.02,9
2024-09-30,Referral,3,766,27,1,1.0,19.86,0.0352,0.0013,0.03,8
2024-08-26,Organic Search,3,304,22,2,2.0,191.75,0.0724,0.0066,0.63,13
2024-09-30,Affiliate,4,313,12,1,1.0,69.27,0.0383,0.0032,0.22,8
2024-08-26,Paid,10,448,2,0,0.0,0.0,0.0045,0.0,0.0,13
2024-09-23,Direct,4,2150,53,4,4.0,284.7,0.0247,0.0019,0.13,9
2024-08-26,Affiliate,3,41,2,0,0.0,0.0,0.0488,0.0,0.0,13
2024-09-23,Affiliate,3,304,14,2,2.0,113.04,0.0461,0.0066,0.37,9
2024-09-09,Direct,6,2046,18,1,1.0,150.15,0.0088,0.0005,0.07,11
2024-09-09,Organic Search,6,2390,16,1,1.0,53.27,0.0067,0.0004,0.02,11
2024-09-02,Paid,8,3158,9,0,0.0,0.0,0.0028,0.0,0.0,12
2024-09-02,Paid,7,3158,9,1,1.0,62.24,0.0028,0.0003,0.02,12
2024-09-16,Paid,9,3403,4,0,0.0,0.0,0.0012,0.0,0.0,10
2024-09-23,Affiliate,6,304,3,0,0.0,0.0,0.0099,0.0,0.0,9
2024-09-09,Affiliate,9,278,1,0,0.0,0.0,0.0036,0.0,0.0,11
2024-08-26,Organic Search,12,304,2,1,2.0,104.1,0.0066,0.0033,0.34,13
2024-09-16,Direct,7,1967,9,0,0.0,0.0,0.0046,0.0,0.0,10
2024-09-30,Referral,6,766,3,0,0.0,0.0,0.0039,0.0,0.0,8
2024-08-26,Referral,6,91,2,0,0.0,0.0,0.022,0.0,0.0,13
2024-09-02,Direct,9,1990,6,0,0.0,0.0,0.003,0.0,0.0,12
2024-09-16,Email,9,485,2,0,0.0,0.0,0.0041,0.0,0.0,10
2024-09-09,Paid,11,3303,4,0,0.0,0.0,0.0012,0.0,0.0,11
2024-09-16,Direct,8,1967,3,0,0.0,0.0,0.0015,0.0,0.0,10
2024-09-09,Affiliate,5,278,3,0,0.0,0.0,0.0108,0.0,0.0,11
2024-09-02,Email,7,429,3,0,0.0,0.0,0.007,0.0,0.0,12
2024-08-26,Referral,3,91,2,0,0.0,0.0,0.022,0.0,0.0,13
2024-08-26,Organic Search,6,304,4,1,1.0,31.59,0.0132,0.0033,0.1,13
2024-09-02,Organic Search,11,2225,2,1,1.0,27.95,0.0009,0.0004,0.01,12
2024-08-26,Affiliate,6,41,1,0,0.0,0.0,0.0244,0.0,0.0,13
2024-09-16,Referral,6,784,2,1,1.0,15.17,0.0026,0.0013,0.02,10
2024-10-07,Referral,7,808,1,0,0.0,0.0,0.0012,0.0,0.0,7
2024-09-02,Email,8,429,2,0,0.0,0.0,0.0047,0.0,0.0,12
2024-10-14,Organic Search,0,2779,2779,39,39.0,2926.24,1.0,0.014,1.05,6
2024-09-02,Paid,1,3158,586,19,19.0,1361.15,0.1856,0.006,0.43,12
2024-11-25,Paid,0,9343,9343,181,186.0,13392.43,1.0,0.0194,1.43,0
2024-09-16,Direct,1,1967,451,25,25.0,1615.17,0.2293,0.0127,0.82,10
2024-11-11,Organic Search,0,2942,2942,29,30.0,2486.34,1.0,0.0099,0.85,2
2024-09-16,Paid,0,3403,3403,48,49.0,2672.47,1.0,0.0141,0.79,10
2024-10-28,Email,0,519,519,25,25.0,1963.62,1.0,0.0482,3.78,4
2024-11-04,Organic Search,0,2880,2880,46,47.0,3928.39,1.0,0.016,1.36,3
2024-10-14,Direct,0,2277,2277,38,38.0,2484.02,1.0,0.0167,1.09,6
2024-11-11,Paid,1,4060,817,21,21.0,1446.6,0.2012,0.0052,0.36,2
2024-10-07,Organic Search,0,2627,2627,29,30.0,2739.7,1.0,0.011,1.04,7
2024-09-16,Email,0,485,485,19,19.0,1222.14,1.0,0.0392,2.52,10
2024-09-02,Direct,0,1990,1990,47,47.0,2753.13,1.0,0.0236,1.38,12
2024-10-28,Organic Search,0,2926,2926,38,39.0,2418.55,1.0,0.013,0.83,4
2024-11-11,Direct,1,2499,593,23,25.0,1870.28,0.2373,0.0092,0.75,2
2024-10-07,Affiliate,0,271,271,2,2.0,307.32,1.0,0.0074,1.13,7
2024-11-04,Direct,2,2420,292,15,17.0,1289.21,0.1207,0.0062,0.53,3
2024-10-14,Referral,5,794,9,0,0.0,0.0,0.0113,0.0,0.0,6
