event_date,day_of_week,users,new_users,returning_users,sessions,transactions,revenue,items_sold,first_orders,repeat_orders,repeat_revenue,sessions_per_user,product_view_rate,view_to_cart_rate,cart_to_checkout_rate,checkout_to_purchase_rate,session_conversion_rate,cart_abandonment_rate,checkout_abandonment_rate,average_order_value,revenue_per_user,revenue_per_session,items_per_order,repeat_revenue_share,revenue_7d_avg,sessions_7d_avg,revenue_wow_growth,users_wow_growth,new_users_wow_growth
2024-09-01,Sunday,1206,1206,0,1206,17,1291.83,33.0,17,0,0.0,1.0,0.5531,0.1289,0.2442,0.8095,0.0141,0.7558,0.1905,75.99,1.07,1.07,1.94,0.0,1291.83,1206.0,,,
2024-09-02,Monday,1347,1303,44,1347,12,923.92,30.0,12,0,0.0,1.0,0.5805,0.1074,0.2738,0.5217,0.0089,0.7262,0.4783,76.99,0.69,0.69,2.5,0.0,1107.88,1276.5,,,
2024-09-03,Tuesday,1438,1326,112,1438,16,886.2,34.0,16,0,0.0,1.0,0.5855,0.1093,0.3696,0.4706,0.0111,0.6304,0.5294,55.39,0.62,0.62,2.13,0.0,1033.98,1330.3,,,
2024-09-04,Wednesday,1479,1273,206,1479,22,1791.81,48.0,22,0,0.0,1.0,0.6031,0.1222,0.367,0.575,0.0156,0.633,0.425,81.45,1.21,1.21,2.18,0.0,1223.44,1367.5,,,
2024-09-05,Thursday,1670,1390,280,1670,22,1417.37,47.0,22,0,0.0,1.0,0.5964,0.1265,0.3095,0.5385,0.0126,0.6905,0.4615,64.43,0.85,0.85,2.14,0.0,1262.23,1428.0,,,
2024-09-06,Friday,1579,1265,314,1579,21,1476.84,37.0,21,0,0.0,1.0,0.6105,0.1151,0.3604,0.525,0.0133,0.6396,0.475,70.33,0.94,0.94,1.76,0.0,1298.0,1453.2,,,
2024-09-07,Saturday,1454,1089,365,1454,27,1801.56,49.0,26,1,52.62,1.0,0.6204,0.1231,0.3874,0.6279,0.0186,0.6126,0.3721,66.72,1.24,1.24,1.81,0.0292,1369.93,1453.3,,,
2024-09-08,Sunday,1513,1082,431,1513,23,1472.24,41.0,23,0,0.0,1.0,0.6067,0.1525,0.2857,0.575,0.0152,0.7143,0.425,64.01,0.97,0.97,1.78,0.0,1395.71,1497.1,0.1397,0.2546,-0.1028
2024-09-09,Monday,1813,1368,445,1813,28,1633.75,44.0,27,1,143.96,1.0,0.6034,0.128,0.3857,0.537,0.016,0.6143,0.463,58.35,0.9,0.9,1.57,0.0881,1497.11,1563.7,0.7683,0.346,0.0499
2024-09-10,Tuesday,1908,1415,493,1908,32,3072.75,64.0,30,2,361.1,1.0,0.6284,0.1276,0.366,0.5536,0.0162,0.634,0.4464,96.02,1.61,1.61,2.0,0.1175,1809.47,1630.9,2.4673,0.3268,0.0671
2024-09-11,Wednesday,1798,1301,497,1798,37,3081.54,85.0,37,0,0.0,1.0,0.619,0.1258,0.4143,0.6379,0.0206,0.5857,0.3621,83.28,1.71,1.71,2.3,0.0,1993.72,1676.4,0.7198,0.2157,0.022
2024-09-12,Thursday,1928,1386,542,1928,27,1698.79,47.0,25,2,38.32,1.0,0.6079,0.1212,0.2958,0.6429,0.014,0.7042,0.3571,62.92,0.88,0.88,1.74,0.0226,2033.92,1713.3,0.1986,0.1545,-0.0029
2024-09-13,Friday,1977,1391,586,1977,32,1917.16,65.0,29,3,87.02,1.0,0.6024,0.1436,0.3275,0.5893,0.0167,0.6725,0.4107,59.91,0.97,0.97,2.03,0.0454,2096.83,1770.1,0.2982,0.2521,0.0996
2024-09-14,Saturday,1814,1187,627,1814,36,2462.77,67.0,35,1,85.65,1.0,0.6262,0.1444,0.3659,0.5833,0.0193,0.6341,0.4167,68.41,1.36,1.36,1.86,0.0348,2191.29,1821.6,0.367,0.2476,0.09
