session_date,device_category,channel_group,country,user_type,sessions,viewed_product,added_to_cart,began_checkout,added_shipping,added_payment,purchased,revenue
2024-10-12,mobile,Paid,United States,Returning,56,43,4,2,1,1,0,0.0
2024-10-13,mobile,Organic Search,United States,Returning,34,27,5,0,0,0,0,0.0
2024-10-13,desktop,Paid,United States,Returning,54,41,6,2,1,1,1,62.38
2024-10-13,mobile,Organic Search,Australia,Returning,7,4,0,0,0,0,0,0.0
2024-10-13,mobile,Organic Search,France,Returning,4,3,0,0,0,0,0,0.0
2024-10-13,mobile,Direct,Japan,New,6,4,0,0,0,0,0,0.0
2024-10-13,desktop,Paid,Australia,New,4,1,0,0,0,0,0,0.0
2024-10-14,desktop,Paid,India,Returning,16,15,5,1,1,0,0,0.0
2024-10-14,desktop,Email,United States,New,9,9,2,0,0,0,0,0.0
2024-10-15,mobile,Organic Search,United States,New,98,57,7,4,4,2,1,137.38
2024-10-15,mobile,Organic Search,Germany,New,8,3,1,1,1,1,1,28.09
2024-10-15,desktop,Referral,India,Returning,6,5,0,0,0,0,0,0.0
2024-11-19,mobile,Paid,France,New,16,10,1,1,0,0,0,0.0
2024-11-19,mobile,Paid,Germany,Returning,11,6,0,0,0,0,0,0.0
2024-11-19,mobile,Direct,United Kingdom,Returning,10,8,2,1,1,0,0,0.0
2024-11-19,mobile,Paid,India,New,34,19,0,0,0,0,0,0.0
2024-11-20,mobile,Direct,United States,Returning,60,45,9,5,4,4,3,134.64
2024-11-20,mobile,Direct,Australia,New,8,5,0,0,0,0,0,0.0
2024-11-21,desktop,Organic Search,India,Returning,16,12,1,0,0,0,0,0.0
2024-11-21,mobile,Organic Search,India,New,40,16,0,0,0,0,0,0.0
2024-11-21,mobile,Direct,Australia,New,5,2,0,0,0,0,0,0.0
2024-11-21,mobile,Referral,Germany,Returning,3,2,0,0,0,0,0,0.0
2024-11-22,desktop,Paid,Australia,Returning,16,11,2,0,0,0,0,0.0
2024-11-22,mobile,Direct,France,New,6,3,0,0,0,0,0,0.0
2024-11-23,mobile,Direct,United States,Returning,48,35,5,1,1,1,1,19.77
2024-10-15,mobile,Email,Canada,Returning,2,2,0,0,0,0,0,0.0
2024-10-15,mobile,Paid,United Kingdom,New,24,12,3,1,0,0,0,0.0
2024-10-16,mobile,Direct,United Kingdom,New,12,6,1,1,1,1,0,0.0
2024-10-16,desktop,Organic Search,United States,New,66,44,6,2,1,1,1,52.06
2024-10-16,tablet,Direct,United States,New,8,4,0,0,0,0,0,0.0
2024-10-16,desktop,Direct,United Kingdom,New,12,10,1,1,1,1,1,143.96
2024-10-17,mobile,Paid,Canada,Returning,9,6,0,0,0,0,0,0.0
2024-10-17,mobile,Referral,Japan,New,4,4,0,0,0,0,0,0.0
2024-10-17,desktop,Direct,Singapore,New,9,4,0,0,0,0,0,0.0
2024-10-17,desktop,Organic Search,Netherlands,Returning,7,7,1,0,0,0,0,0.0
2024-10-18,desktop,Paid,United States,Returning,59,43,10,2,2,2,2,207.69
2024-10-18,tablet,Paid,United Kingdom,New,5,4,0,0,0,0,0,0.0
2024-10-18,desktop,Direct,United Kingdom,New,11,8,1,0,0,0,0,0.0
2024-10-18,mobile,Paid,Netherlands,Returning,4,1,0,0,0,0,0,0.0
2024-10-19,mobile,Paid,Brazil,New,12,5,2,0,0,0,0,0.0
2024-10-20,mobile,Paid,United States,New,84,48,2,0,0,0,0,0.0
2024-10-20,mobile,Paid,Germany,Returning,15,11,2,0,0,0,0,0.0
2024-10-20,desktop,Paid,Mexico,New,6,2,1,0,0,0,0,0.0
2024-10-20,mobile,Organic Search,United States,Returning,37,32,7,3,3,3,3,226.66
2024-11-23,desktop,Organic Search,United States,New,60,42,6,2,1,1,1,31.66
