transaction_id,session_id,user_id,order_timestamp,order_date,device_category,country,source,medium,campaign,channel_group,order_value,item_revenue_sum,item_count,distinct_products,distinct_categories,categories,order_seq,is_first_order,days_since_previous_order,avg_item_value,order_hour,order_day_of_week,order_value_rank
T0001259,8288675.6711105789.1728390111,8288675.6711105789,2024-10-08 12:25:50.423749,2024-10-08,mobile,United States,google,organic,(organic),Organic Search,437.72,437.72,4.0,3,2,['Apparel' 'Electronics'],1,True,,109.43,12,Tuesday,1
T0000454,6021838.4215477779.1726593244,6021838.4215477779,2024-09-17 17:11:38.344881,2024-09-17,desktop,Singapore,(direct),(none),(direct),Direct,436.25,436.25,3.0,2,2,['Electronics' 'Office'],1,True,,145.42,17,Tuesday,2
T0002130,8211091.1825625659.1730037973,8211091.1825625659,2024-10-27 13:59:15.602088,2024-10-27,desktop,Canada,google,cpc,shopping_feed,Paid,433.54,433.54,4.0,2,2,['Electronics' 'Stationery'],2,False,8,108.39,13,Sunday,3
T0003497,2726939.8691756275.1732423363,2726939.8691756275,2024-11-24 04:41:03.621813,2024-11-24,desktop,Canada,(direct),(none),(direct),Direct,432.75,432.75,3.0,2,2,['Accessories' 'Electronics'],1,True,,144.25,4,Sunday,4
T0003907,5972811.9960804233.1732720472,5972811.9960804233,2024-11-27 15:13:11.308592,2024-11-27,mobile,Canada,youtube.com,referral,(referral),Referral,424.43,424.43,3.0,2,2,['Apparel' 'Electronics'],1,True,,141.48,15,Wednesday,5
T0000504,4070753.5225771830.1726737438,4070753.5225771830,2024-09-19 09:16:37.922086,2024-09-19,desktop,India,google,organic,(organic),Organic Search,392.82,392.82,6.0,3,3,['Apparel' 'Bags' 'Lifestyle'],1,True,,65.47,9,Thursday,6
T0001043,8234891.6932423831.1727881482,8234891.6932423831,2024-10-02 15:09:40.908076,2024-10-02,mobile,United States,google,cpc,brand_search,Paid,392.3,392.3,2.0,1,1,['Electronics'],1,True,,196.15,15,Wednesday,7
T0004060,8781185.8950312976.1732800297,8781185.8950312976,2024-11-28 13:21:00.791330,2024-11-28,desktop,France,google,cpc,brand_search,Paid,382.52,382.52,4.0,2,2,['Bags' 'Electronics'],1,True,,95.63,13,Thursday,8
T0003645,5613114.3319088188.1732566154,5613114.3319088188,2024-11-25 20:19:01.534347,2024-11-25,desktop,Germany,(direct),(none),(direct),Direct,362.54,362.54,4.0,2,2,['Bags' 'Lifestyle'],1,True,,90.64,20,Monday,9
T0001187,4292493.3204417201.1728226328,4292493.3204417201,2024-10-06 14:58:10.083800,2024-10-06,mobile,United States,(direct),(none),(direct),Direct,360.82,360.82,4.0,2,1,['Bags'],1,True,,90.21,14,Sunday,10
T0000209,7604367.4834433006.1725993579,7604367.4834433006,2024-09-10 18:39:05.823654,2024-09-10,desktop,Canada,facebook,paid_social,prospecting_broad,Paid,360.6,360.6,2.0,2,1,['Electronics'],1,True,,180.3,18,Tuesday,11
T0000987,1057386.9487785577.1727761795,1057386.9487785577,2024-10-01 05:51:52.507250,2024-10-01,desktop,Canada,(direct),(none),(direct),Direct,350.63,350.63,3.0,2,2,['Bags' 'Electronics'],1,True,,116.88,5,Tuesday,12
T0004487,2416939.9659739609.1733006890,2416939.9659739609,2024-11-30 23:00:20.096454,2024-11-30,desktop,Netherlands,google,cpc,shopping_feed,Paid,339.62,339.62,2.0,1,1,['Electronics'],1,True,,169.81,23,Saturday,13
T0004336,2006832.1037189600.1732918468,2006832.1037189600,2024-11-29 22:20:44.402745,2024-11-29,desktop,Canada,newsletter,email,weekly_drop,Email,339.62,339.62,2.0,1,1,['Electronics'],1,True,,169.81,22,Friday,13
T0002219,5471288.1800720954.1730197057,5471288.1800720954,2024-10-29 10:23:46.239920,2024-10-29,mobile,Australia,facebook,paid_social,prospecting_broad,Paid,338.56,338.56,3.0,2,2,['Apparel' 'Electronics'],1,True,,112.85,10,Tuesday,14
T0001672,4334303.6356300823.1729197486,4334303.6356300823,2024-10-17 20:39:55.953205,2024-10-17,desktop,United States,youtube.com,referral,(referral),Referral,336.61,336.61,5.0,3,2,['Apparel' 'Bags'],1,True,,67.32,20,Thursday,15
T0000463,1495476.3353231244.1726615384,1495476.3353231244,2024-09-17 23:33:42.138841,2024-09-17,mobile,United States,newsletter,email,weekly_drop,Email,330.23,330.23,3.0,2,2,['Apparel' 'Electronics'],2,False,4,110.08,23,Tuesday,16
T0002208,4777198.9809018968.1730180143,4777198.9809018968,2024-10-29 05:33:20.582141,2024-10-29,desktop,Australia,google,cpc,brand_search,Paid,328.3,328.3,3.0,3,3,['Apparel' 'Bags' 'Electronics'],1,True,,109.43,5,Tuesday,17
