product_id,product_name,product_category,avg_price,sessions_viewed,sessions_added,sessions_removed,sessions_checkout,orders,units_sold,revenue,view_to_cart_rate,cart_to_order_rate,view_to_order_rate,cart_removal_rate,revenue_rank,revenue_rank_in_category,revenue_share,cumulative_revenue_share
GGOE000017,Google Navy Cap Sleeve Tee,Apparel,19.77,32690,3380,230,1273,751,936.0,18504.72,0.1034,0.2222,0.023,0.068,2,1,0.0592,0.144
GGOE000024,Google Olive Long Sleeve Tee,Apparel,61.92,7772,731,47,272,166,195.0,12074.4,0.0941,0.2271,0.0214,0.0643,4,2,0.0386,0.2288
GGOE000015,Google Black Cap Sleeve Tee,Apparel,29.41,11692,1158,102,422,257,297.0,8734.77,0.099,0.2219,0.022,0.0881,5,3,0.028,0.2567
GGOE000023,Google White Long Sleeve Tee,Apparel,68.69,4970,470,27,170,100,115.0,7899.35,0.0946,0.2128,0.0201,0.0574,8,4,0.0253,0.3362
GGOE000020,Google Black Long Sleeve Tee,Apparel,60.73,4394,402,31,150,90,106.0,6437.38,0.0915,0.2239,0.0205,0.0771,12,5,0.0206,0.426
GGOE000026,Google Charcoal Track Jacket,Apparel,43.54,5552,555,37,197,111,141.0,6139.14,0.1,0.2,0.02,0.0667,14,6,0.0196,0.4655
GGOE000012,Google Navy Tee,Apparel,53.99,5065,466,29,164,96,112.0,6046.88,0.092,0.206,0.019,0.0622,15,7,0.0194,0.4849
GGOE000005,Google Black Crewneck Sweatshirt,Apparel,73.56,2804,255,12,95,60,72.0,5296.32,0.0909,0.2353,0.0214,0.0471,20,8,0.0169,0.5738
GGOE000002,Google Navy Zip Hoodie,Apparel,66.66,2510,230,16,91,56,65.0,4332.9,0.0916,0.2435,0.0223,0.0696,21,9,0.0139,0.5877
GGOE000007,Google Navy Crewneck Sweatshirt,Apparel,62.38,3152,277,19,114,59,67.0,4179.46,0.0879,0.213,0.0187,0.0686,23,10,0.0134,0.6145
GGOE000003,Google White Zip Hoodie,Apparel,57.14,2097,183,10,68,47,59.0,3371.26,0.0873,0.2568,0.0224,0.0546,28,11,0.0108,0.6748
GGOE000014,Google Olive Tee,Apparel,42.16,2985,293,22,104,64,73.0,3077.68,0.0982,0.2184,0.0214,0.0751,30,12,0.0098,0.695
GGOE000011,Google Charcoal Tee,Apparel,70.68,1226,114,7,50,25,29.0,2049.72,0.093,0.2193,0.0204,0.0614,39,13,0.0066,0.7641
GGOE000000,Google Black Zip Hoodie,Apparel,61.66,1024,104,8,40,25,32.0,1973.12,0.1016,0.2404,0.0244,0.0769,40,14,0.0063,0.7705
GGOE000001,Google Charcoal Zip Hoodie,Apparel,41.89,1485,146,6,50,27,32.0,1340.48,0.0983,0.1849,0.0182,0.0411,51,15,0.0043,0.8248
GGOE000008,Google White Crewneck Sweatshirt,Apparel,23.56,2519,258,12,95,47,55.0,1295.8,0.1024,0.1822,0.0187,0.0465,53,16,0.0041,0.8332
GGOE000022,Google Navy Long Sleeve Tee,Apparel,73.27,1001,82,6,23,14,17.0,1245.59,0.0819,0.1707,0.014,0.0732,55,17,0.004,0.8413
GGOE000021,Google Charcoal Long Sleeve Tee,Apparel,36.92,1131,118,8,48,27,32.0,1181.44,0.1043,0.2288,0.0239,0.0678,56,18,0.0038,0.845
GGOE000029,Google Olive Track Jacket,Apparel,56.3,439,47,3,18,15,19.0,1069.7,0.1071,0.3191,0.0342,0.0638,59,19,0.0034,0.8556
GGOE000013,Google White Tee,Apparel,64.54,578,42,4,20,13,16.0,1032.64,0.0727,0.3095,0.0225,0.0952,62,20,0.0033,0.8657
GGOE000004,Google Olive Zip Hoodie,Apparel,21.56,1917,178,12,65,37,46.0,991.76,0.0929,0.2079,0.0193,0.0674,65,21,0.0032,0.8753
GGOE000027,Google Navy Track Jacket,Apparel,18.58,1808,168,12,65,40,49.0,910.42,0.0929,0.2381,0.0221,0.0714,68,22,0.0029,0.8842
GGOE000025,Google Black Track Jacket,Apparel,27.48,1411,123,14,48,23,32.0,879.36,0.0872,0.187,0.0163,0.1138,70,23,0.0028,0.8899
GGOE000028,Google White Track Jacket,Apparel,25.1,951,94,7,31,20,25.0,627.5,0.0988,0.2128,0.021,0.0745,79,24,0.002,0.9109
GGOE000016,Google Charcoal Cap Sleeve Tee,Apparel,48.72,650,68,3,23,10,11.0,535.92,0.1046,0.1471,0.0154,0.0441,86,25,0.0017,0.9235
GGOE000009,Google Olive Crewneck Sweatshirt,Apparel,42.57,786,73,6,25,11,12.0,510.84,0.0929,0.1507,0.014,0.0822,89,26,0.0016,0.9286
GGOE000018,Google White Cap Sleeve Tee,Apparel,64.83,310,31,3,10,4,6.0,388.98,0.1,0.129,0.0129,0.0968,103,27,0.0012,0.948
