dimension,segment,sessions,users,viewed_product,added_to_cart,viewed_cart,began_checkout,added_shipping,added_payment,purchased,revenue,product_view_rate,view_to_cart_rate,cart_to_checkout_rate,shipping_to_payment_rate,checkout_to_purchase_rate,session_conversion_rate,cart_abandonment_rate,checkout_abandonment_rate,revenue_per_session
country,United States,86938,57021,56680,9494,7534,3703,3019,2625,2228,153784.55,0.6519588672387219,0.1675017642907551,0.39003581209184746,0.8694932096720769,0.6016743181204429,0.02562745864869217,0.6099641879081525,0.3983256818795571,1.7688991005084083
country,India,32060,21058,19162,2021,1587,593,483,383,338,25683.95,0.5976918278228321,0.10546915770796368,0.293419099455715,0.7929606625258799,0.5699831365935919,0.010542732376793512,0.706580900544285,0.4300168634064081,0.8011213349968809
country,United Kingdom,18030,11993,11412,1695,1359,661,541,457,376,24922.91,0.6329450915141431,0.148527865404837,0.38997050147492623,0.844731977818854,0.5688350983358548,0.020854132002218525,0.6100294985250738,0.43116490166414523,1.3823022739877981
country,Canada,16129,10616,10367,1588,1268,568,460,390,340,24567.35,0.642755285510571,0.1531783543937494,0.35768261964735515,0.8478260869565217,0.5985915492957746,0.02108004216008432,0.6423173803526449,0.4014084507042254,1.5231787463574926
country,Germany,13643,8974,8685,1244,981,466,370,322,267,18440.21,0.6365901927728506,0.14323546344271734,0.3745980707395498,0.8702702702702703,0.572961373390558,0.019570475701825112,0.6254019292604502,0.42703862660944203,1.3516242761855897
country,Japan,11470,7437,7308,1022,792,353,287,236,197,13777.46,0.6371403661726243,0.13984674329501914,0.34540117416829746,0.8222996515679443,0.5580736543909348,0.017175239755884916,0.6545988258317026,0.4419263456090652,1.2011734960767217
country,Brazil,11412,7542,6797,733,596,237,192,147,131,7838.31,0.5956011216263583,0.10784169486538178,0.32332878581173263,0.765625,0.5527426160337553,0.011479144759901857,0.6766712141882674,0.4472573839662447,0.686848054679285
country,Australia,9245,6032,5819,854,668,288,230,195,161,11832.31,0.629421308815576,0.14676061178896718,0.3372365339578454,0.8478260869565217,0.5590277777777778,0.017414818820984317,0.6627634660421546,0.4409722222222222,1.279860465116279
country,France,8877,5940,5453,735,577,248,200,166,138,9155.77,0.6142841049904247,0.13478818998716302,0.33741496598639453,0.83,0.5564516129032258,0.01554579249746536,0.6625850340136055,0.44354838709677424,1.0314036273515828
country,Singapore,6907,4462,4331,590,472,213,177,148,128,9372.3,0.6270450267844216,0.1362271992611406,0.3610169491525424,0.8361581920903954,0.6009389671361502,0.01853192413493557,0.6389830508474577,0.39906103286384975,1.356927754452005
country,Mexico,6792,4492,4046,436,342,152,127,101,79,5494.44,0.5957008244994111,0.10776075135936727,0.3486238532110092,0.7952755905511811,0.5197368421052632,0.01163133097762073,0.6513761467889908,0.48026315789473684,0.8089575971731449
country,Netherlands,6707,4433,4220,579,447,203,157,128,109,7611.57,0.6291933800506933,0.13720379146919431,0.35060449050086356,0.8152866242038217,0.5369458128078818,0.016251677352020277,0.6493955094991364,0.4630541871921182,1.1348695392873118
